augment_id,出现次数,中文名,品质(白银/黄金/棱彩),描述
2132,877,,,
1029,876,,,
1336,865,,,
1353,814,,,
1030,747,,,
1238,718,,,
1390,716,,,
1133,700,,,
1356,695,,,
2083,649,,,
2006,567,,,
1007,561,,,
1152,560,,,
1181,532,,,
1138,521,,,
2087,517,,,
1071,502,,,
1113,493,,,
2018,485,,,
1388,475,,,
1041,472,,,
1320,463,,,
1013,450,,,
1225,448,,,
1195,446,,,
2010,438,,,
1097,430,,,
1045,411,,,
1322,396,,,
2100,390,,,
1048,377,,,
1237,367,,,
1004,353,,,
1022,345,,,
1077,345,,,
1344,343,,,
1058,341,,,
1211,340,,,
1136,327,,,
1220,326,,,
1084,325,,,
1044,323,,,
1415,318,,,
1318,307,,,
2103,300,,,
2091,294,,,
1098,292,,,
1134,289,,,
1326,280,,,
1373,278,,,
1206,270,,,
1129,269,,,
1384,267,,,
1068,263,,,
1073,261,,,
1328,253,,,
1156,252,,,
2102,249,,,
1311,248,,,
1349,241,,,
1115,241,,,
1375,240,,,
2099,240,,,
1088,239,,,
1020,236,,,
1180,236,,,
1019,230,,,
1063,229,,,
1319,228,,,
1056,228,,,
1170,224,,,
2128,222,,,
1194,218,,,
2127,217,,,
2095,217,,,
1243,204,,,
1112,202,,,
1087,201,,,
2116,199,,,
1996,189,,,
1047,189,,,
1080,186,,,
1301,180,,,
1006,178,,,
1214,178,,,
1333,176,,,
1103,174,,,
1403,173,,,
1323,168,,,
1205,164,,,
1081,164,,,
1345,163,,,
1420,163,,,
1401,161,,,
1092,161,,,
2098,154,,,
2042,151,,,
1018,151,,,
1061,146,,,
2009,143,,,
1361,141,,,
1060,138,,,
2077,137,,,
1305,137,,,
1001,135,,,
1038,134,,,
1149,133,,,
1011,128,,,
1046,122,,,
1151,120,,,
1150,119,,,
1002,119,,,
1051,113,,,
1329,110,,,
12317,109,,,
2096,105,,,
1332,105,,,
1054,104,,,
1141,103,,,
1005,99,,,
1325,96,,,
2089,96,,,
2043,96,,,
2005,94,,,
1036,94,,,
2143,94,,,
2140,94,,,
1025,93,,,
2024,93,,,
2104,92,,,
1079,91,,,
1116,89,,,
1028,89,,,
1105,88,,,
1053,88,,,
2082,83,,,
1413,83,,,
1034,83,,,
2111,82,,,
2016,81,,,
2107,81,,,
1037,80,,,
1072,79,,,
1416,74,,,
1074,73,,,
2004,70,,,
2026,69,,,
2137,67,,,
2123,66,,,
1308,66,,,
1315,61,,,
1358,60,,,
1404,58,,,
1076,58,,,
2072,58,,,
1026,57,,,
2133,56,,,
2034,55,,,
2118,55,,,
1062,54,,,
2064,54,,,
2088,49,,,
1392,49,,,
1402,49,,,
2055,49,,,
2073,47,,,
2139,41,,,
2031,41,,,
2080,40,,,
1337,39,,,
2129,38,,,
2032,37,,,
1324,37,,,
2134,33,,,
1154,33,,,
1057,32,,,
1335,31,,,
1314,30,,,
1027,30,,,
2062,29,,,
1067,28,,,
1095,27,,,
1389,27,,,
2078,26,,,
2136,22,,,
2119,22,,,
1347,22,,,
1331,22,,,
2125,21,,,
2076,21,,,
1015,21,,,
1379,21,,,
2063,20,,,
2097,19,,,
2131,19,,,
2138,17,,,
2054,16,,,
1421,15,,,
2115,15,,,
1386,14,,,
1204,13,,,
2065,10,,,
2135,10,,,
1118,9,,,
1104,8,,,
2046,7,,,
2108,5,,,
2144,5,,,
1187,1,,,
1348,1,,,
